2026-04-29 13:13:27, MOVE, v:1, k:ed@lista_d1, mode:DOWN
2026-04-29 13:14:04, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-04-29 13:14:59, MOVE, v:1, k:ed@lista_d1, mode:BACK
2026-04-29 13:16:07, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-04-29 13:14:11, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:18:50, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:23:54, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:28:43, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:29:49, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:49:03, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:49:55, MOVE, v:1, k:ed@lista_d1, mode:BACK
2026-04-29 13:49:55, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-04-29 13:49:58, MOVE, v:1, k:ed@lista_d1, mode:BACK
2026-04-29 13:50:16, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-04-29 13:50:37, MOVE, v:1, k:ed@lista_d1, mode:BACK
2026-04-29 13:50:39, MOVE, v:1, k:ed@lista_d1, mode:DOWN
2026-04-29 13:50:39, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:50:39, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:50:39, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 13:50:39, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 14:14:56, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 14:19:12, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-29 14:25:14, MOVE, v:1, k:ed@lista_d1, mode:EDIT
